site,continuous  central,dense residential,sparse residential,parks allotments cemeteries,amenity grassland,Railway,woodland,water
BLO,48.2,24.7,13.6,3.1,0.9,1.8,2.8,4.9
BUR,26.7,58.8,3.4,6.6,0.6,0,0,3.9
CAD,28.9,36.4,0.7,11.9,1.4,0.7,13.4,6.7
GIL,10.8,16.4,63.9,7,0.8,0,0.3,0.7
HHS,13.7,17.9,44.8,5.8,4.6,2.3,7.6,3.3
HOR,4.9,3.9,61.7,8.2,8.5,0.6,12.2,0
MAK,10.8,6.2,60.3,11.3,5.2,2.3,3.1,0.9
MPA,34.4,3.7,47.9,10.7,2.7,0,0.2,0.5
SWP,29.9,32.2,15.9,4.2,0.9,2.7,2.5,11.7
ZSL,34.9,17.7,35.8,10,0.6,0,0.1,1
